Year,Leading Cause,Sex,Race Ethnicity,Deaths,Death Rate,Age Adjusted Death Rate
2012,Malignant Neoplasms (Cancer),Male,Other Race/ Ethnicity,34,,
2009,Influenza (Flu) and Pneumonia ,Male,Non-Hispanic Black,207,24.4,33.3
2008,Essential Hypertension and Renal Diseases ,Male,Other Race/ Ethnicity,,,
2009,Cerebrovascular Disease (Stroke),Female,Hispanic,154,12.9,16
2008,Diabetes Mellitus ,Male,Asian and Pacific Islander,52,10.4,14.9
2014,Diabetes Mellitus ,Male,Hispanic,186,15.6,23.2
2014,Human Immunodeficiency Virus Disease (HIV),Male,Other Race/ Ethnicity,10,,
2012,Accidents Except Drug Posioning ,Male,Non-Hispanic Black,152,17.8,18.6
2008,Cerebrovascular Disease (Stroke),Female,Hispanic,152,12.9,16.4
2008,Diabetes Mellitus ,Female,Hispanic,228,19.3,24.1
2012,Essential Hypertension and Renal Diseases ,Male,Non-Hispanic White,153,11.4,9.3
2008,Human Immunodeficiency Virus Disease (HIV),Female,Hispanic,113,9.6,9.6
2014,Cerebrovascular Disease (Stroke),Female,Non-Hispanic White,418,29.5,15.6
2014,Malignant Neoplasms (Cancer),Female,Asian and Pacific Islander,502,80.2,80.6
2012,Malignant Neoplasms (Cancer),Male,Not Stated/Unknown,53,,
2011,Certain Conditions originating in the Perinatal Period ,Male,Not Stated/Unknown,10,,
2014,Diabetes Mellitus ,Female,Other Race/ Ethnicity,11,,
2011,Alzheimer's Disease ,Female,Asian and Pacific Islander,24,4.2,5.4
2008,Certain Conditions originating in the Perinatal Period ,Male,Not Stated/Unknown,6,,
2014,All Other Causes,Male,Not Stated/Unknown,96,,
2009,Cerebrovascular Disease (Stroke),Female,Other Race/ Ethnicity,,,
2011,Chronic Lower Respiratory Diseases ,Female,Other Race/ Ethnicity,,,
2008,All Other Causes,Female,Not Stated/Unknown,42,,
2014,Septicemia ,Female,Non-Hispanic White,118,8.3,4.7
2013,All Other Causes,Female,Asian and Pacific Islander,320,53.3,59
2013,Essential Hypertension and Renal Diseases ,Male,Not Stated/Unknown,15,,
2010,All Other Causes,Male,Hispanic,1167,102.1,150
2007,Influenza (Flu) and Pneumonia ,Female,Non-Hispanic Black,295,28,26.9
2011,Intentional Self-Harm (Suicide),Female,Other Race/ Ethnicity,,,
2011,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Female,Non-Hispanic White,88,6.2,6.1
2008,Cerebrovascular Disease (Stroke),Female,Non-Hispanic Black,267,25.5,23.6
2010,Malignant Neoplasms (Cancer),Male,Other Race/ Ethnicity,25,,
2007,Influenza (Flu) and Pneumonia ,Female,Hispanic,190,16.3,22.3
2007,All Other Causes,Female,Hispanic,820,70.2,85.6
2007,Influenza (Flu) and Pneumonia ,Male,Other Race/ Ethnicity,7,,
2011,Accidents Except Drug Posioning ,Male,Other Race/ Ethnicity,10,,
2012,Influenza (Flu) and Pneumonia ,Male,Hispanic,205,17.5,31.5
2011,Essential Hypertension and Renal Diseases ,Male,Non-Hispanic Black,154,18.1,21.7
2013,All Other Causes,Male,Not Stated/Unknown,139,,
2009,Diabetes Mellitus ,Female,Non-Hispanic Black,384,36.7,33.7
2012,Cerebrovascular Disease (Stroke),Female,Asian and Pacific Islander,102,17.5,20.7
2011,Malignant Neoplasms (Cancer),Male,Hispanic,1144,99.2,157.7
2009,Alzheimer's Disease ,Female,Not Stated/Unknown,,,
2011,Chronic Lower Respiratory Diseases ,Male,Other Race/ Ethnicity,,,
2013,Diabetes Mellitus ,Female,Other Race/ Ethnicity,10,,
2014,Influenza (Flu) and Pneumonia ,Male,Non-Hispanic White,502,37.4,29.7
2013,All Other Causes,Male,Hispanic,1193,101,146.4
2012,Cerebrovascular Disease (Stroke),Male,Not Stated/Unknown,10,,
2011,Alzheimer's Disease ,Female,Not Stated/Unknown,,,
2011,Diabetes Mellitus ,Male,Hispanic,200,17.3,29.2
2008,Cerebrovascular Disease (Stroke),Male,Asian and Pacific Islander,48,9.6,14.1
2007,Atherosclerosis ,Female,Other Race/ Ethnicity,,,
2008,"Nephritis, Nephrotic Syndrome and Nephrisis ",Female,Asian and Pacific Islander,13,2.4,3.3
2008,All Other Causes,Female,Other Race/ Ethnicity,19,,
2009,Human Immunodeficiency Virus Disease (HIV),Female,Hispanic,96,8,8.1
2011,Diseases of Heart ,Male,Non-Hispanic White,4220,316.4,260.2
2008,Human Immunodeficiency Virus Disease (HIV),Male,Non-Hispanic Black,356,41.9,41.8
2009,Chronic Lower Respiratory Diseases ,Female,Non-Hispanic White,458,31.9,19.1
2008,Diabetes Mellitus ,Male,Hispanic,191,17.3,31.3
2009,Diabetes Mellitus ,Female,Asian and Pacific Islander,55,10,12.7
2009,All Other Causes,Female,Hispanic,775,64.7,75.3
2010,Essential Hypertension and Renal Diseases ,Female,Hispanic,95,7.8,9.5
2008,Chronic Lower Respiratory Diseases ,Male,Non-Hispanic White,347,25.9,21.8
2013,Cerebrovascular Disease (Stroke),Female,Asian and Pacific Islander,80,13.3,14.4
2009,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Male,Hispanic,145,12.9,13.5
2009,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Female,Hispanic,57,4.8,4.7
2007,Alzheimer's Disease ,Female,Non-Hispanic White,107,7.5,3.5
2010,Malignant Neoplasms (Cancer),Male,Non-Hispanic White,3408,254.1,216.6
2010,Diabetes Mellitus ,Female,Not Stated/Unknown,5,,
2011,Human Immunodeficiency Virus Disease (HIV),Female,Non-Hispanic Black,144,13.8,12.4
2011,Diseases of Heart ,Female,Non-Hispanic White,5016,354.1,179.8
2013,Cerebrovascular Disease (Stroke),Male,Asian and Pacific Islander,71,12.8,16.1
2009,Chronic Liver Disease and Cirrhosis ,Male,Hispanic,119,10.6,14.1
2011,Chronic Lower Respiratory Diseases ,Male,Asian and Pacific Islander,73,13.8,22
2009,All Other Causes,Female,Asian and Pacific Islander,220,40.1,48.9
2011,Intentional Self-Harm (Suicide),Female,Asian and Pacific Islander,21,3.7,3.7
2013,Diseases of Heart ,Female,Non-Hispanic Black,2365,226.4,187.3
2012,Intentional Self-Harm (Suicide),Male,Asian and Pacific Islander,40,7.4,7.3
2012,"Nephritis, Nephrotic Syndrome and Nephrisis ",Female,Non-Hispanic Black,76,7.3,6.3
2007,Influenza (Flu) and Pneumonia ,Female,Asian and Pacific Islander,58,11.3,15.8
2013,Intentional Self-Harm (Suicide),Male,Not Stated/Unknown,17,,
2012,Cerebrovascular Disease (Stroke),Female,Hispanic,169,13.6,15.7
2013,Chronic Lower Respiratory Diseases ,Female,Not Stated/Unknown,9,,
2008,All Other Causes,Male,Not Stated/Unknown,67,,
2014,Human Immunodeficiency Virus Disease (HIV),Male,Not Stated/Unknown,10,,
2014,Essential Hypertension and Renal Diseases ,Male,Non-Hispanic Black,155,18,21.6
2009,Malignant Neoplasms (Cancer),Female,Asian and Pacific Islander,398,72.5,83.5
2011,Chronic Lower Respiratory Diseases ,Female,Non-Hispanic Black,221,21.1,18.6
2012,All Other Causes,Male,Hispanic,1199,102.6,150.5
2014,Diseases of Heart ,Male,Not Stated/Unknown,115,,
2013,Diseases of Heart ,Male,Asian and Pacific Islander,531,95.8,123.7
2010,Intentional Self-Harm (Suicide),Male,Asian and Pacific Islander,46,8.8,8.7
2013,Chronic Liver Disease and Cirrhosis ,Male,Asian and Pacific Islander,29,5.2,5.4
2008,Diseases of Heart ,Female,Non-Hispanic Black,2725,260.1,243.6
2010,Influenza (Flu) and Pneumonia ,Female,Asian and Pacific Islander,74,13.2,16.9
2007,Certain Conditions originating in the Perinatal Period ,Female,Other Race/ Ethnicity,,,
2010,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Male,Non-Hispanic White,211,15.7,14.5
2008,Diabetes Mellitus ,Female,Not Stated/Unknown,12,,
2007,Diseases of Heart ,Male,Non-Hispanic Black,2121,248.9,340.2
2010,Diabetes Mellitus ,Female,Other Race/ Ethnicity,7,,
2014,Chronic Lower Respiratory Diseases ,Female,Non-Hispanic Black,220,21,17.9
2009,Essential Hypertension and Renal Diseases ,Female,Other Race/ Ethnicity,,,
2008,Malignant Neoplasms (Cancer),Male,Asian and Pacific Islander,473,95,123.5
2014,Alzheimer's Disease ,Female,Asian and Pacific Islander,26,4.2,4.7
2010,Cerebrovascular Disease (Stroke),Female,Asian and Pacific Islander,89,15.8,19.2
2013,Diabetes Mellitus ,Male,Asian and Pacific Islander,96,17.3,21.1
2012,Essential Hypertension and Renal Diseases ,Male,Non-Hispanic Black,143,16.7,21.3
2012,Accidents Except Drug Posioning ,Male,Other Race/ Ethnicity,5,,
2012,Chronic Lower Respiratory Diseases ,Female,Non-Hispanic Black,204,19.5,16.9
2014,Accidents Except Drug Posioning ,Male,Non-Hispanic White,258,19.2,16.4
2007,Malignant Neoplasms (Cancer),Female,Asian and Pacific Islander,395,76.7,88.4
2014,Essential Hypertension and Renal Diseases ,Female,Other Race/ Ethnicity,,,
2011,Influenza (Flu) and Pneumonia ,Female,Not Stated/Unknown,8,,
2012,All Other Causes,Male,Non-Hispanic White,2316,172.9,145.7
2009,Cerebrovascular Disease (Stroke),Female,Not Stated/Unknown,5,,
2008,Intentional Self-Harm (Suicide),Male,Non-Hispanic White,195,14.5,13.1
2010,Septicemia ,Female,Not Stated/Unknown,,,
2012,Human Immunodeficiency Virus Disease (HIV),Male,Not Stated/Unknown,9,,
2011,Cerebrovascular Disease (Stroke),Male,Hispanic,147,12.8,20.9
2014,Cerebrovascular Disease (Stroke),Female,Non-Hispanic Black,274,26.1,21.4
2014,Chronic Lower Respiratory Diseases ,Male,Non-Hispanic Black,186,21.5,25.4
2010,Human Immunodeficiency Virus Disease (HIV),Female,Non-Hispanic Black,152,14.5,12.9
2010,Essential Hypertension and Renal Diseases ,Male,Non-Hispanic Black,178,20.9,27.7
2007,Malignant Neoplasms (Cancer),Female,Non-Hispanic White,3518,245.2,167.4
2010,Insitu or Benign / Uncertain Neoplasms,Female,Other Race/ Ethnicity,,,
2012,Diseases of Heart ,Female,Not Stated/Unknown,76,,
2013,Alzheimer's Disease ,Female,Non-Hispanic Black,106,10.1,8
2014,Intentional Self-Harm (Suicide),Male,Asian and Pacific Islander,50,8.7,8.7
2010,Human Immunodeficiency Virus Disease (HIV),Male,Not Stated/Unknown,8,,
2012,Influenza (Flu) and Pneumonia ,Male,Other Race/ Ethnicity,,,
2014,Assault (Homicide),Male,Non-Hispanic Black,186,21.5,21.5
2008,Essential Hypertension and Renal Diseases ,Female,Asian and Pacific Islander,32,6,8
2007,Diseases of Heart ,Male,Non-Hispanic White,5632,421,350.7
2014,Intentional Self-Harm (Suicide),Female,Asian and Pacific Islander,28,4.5,4.2
2009,Cerebrovascular Disease (Stroke),Male,Non-Hispanic White,227,16.9,14.2
2008,All Other Causes,Male,Non-Hispanic Black,1216,143.2,163.5
2013,Diabetes Mellitus ,Male,Non-Hispanic White,265,19.7,16.4
2009,Diabetes Mellitus ,Male,Other Race/ Ethnicity,,,
2010,Diseases of Heart ,Male,Non-Hispanic White,4495,335.1,277
2009,Diabetes Mellitus ,Female,Other Race/ Ethnicity,,,
2009,Chronic Lower Respiratory Diseases ,Female,Other Race/ Ethnicity,,,
2010,Accidents Except Drug Posioning ,Female,Non-Hispanic White,163,11.4,7.8
2012,Diseases of Heart ,Female,Other Race/ Ethnicity,48,,
2014,All Other Causes,Male,Hispanic,1195,100.1,143.3
2009,Chronic Liver Disease and Cirrhosis ,Male,Asian and Pacific Islander,17,3.3,3.5
2011,Malignant Neoplasms (Cancer),Male,Non-Hispanic Black,1590,186.4,224.4
2010,Influenza (Flu) and Pneumonia ,Male,Non-Hispanic Black,201,23.6,31.8
2012,Diabetes Mellitus ,Female,Non-Hispanic White,240,16.9,10.3
2008,Diseases of Heart ,Female,Not Stated/Unknown,108,,
2009,Chronic Liver Disease and Cirrhosis ,Male,Not Stated/Unknown,10,,
2007,Accidents Except Drug Posioning ,Female,Other Race/ Ethnicity,,,
2007,All Other Causes,Female,Not Stated/Unknown,27,,
2008,Human Immunodeficiency Virus Disease (HIV),Female,Non-Hispanic Black,227,21.7,20
2007,Accidents Except Drug Posioning ,Female,Non-Hispanic White,162,11.3,7.3
2014,Influenza (Flu) and Pneumonia ,Male,Asian and Pacific Islander,105,18.3,25
2012,Chronic Lower Respiratory Diseases ,Male,Non-Hispanic White,352,26.3,21.8
2007,Malignant Neoplasms (Cancer),Male,Not Stated/Unknown,45,,
2009,Diabetes Mellitus ,Male,Non-Hispanic White,290,21.6,18.2
2012,Human Immunodeficiency Virus Disease (HIV),Male,Hispanic,103,8.8,10.1
2013,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Female,Hispanic,63,5,4.9
2007,Human Immunodeficiency Virus Disease (HIV),Female,Hispanic,109,9.3,9.5
2011,Accidents Except Drug Posioning ,Male,Asian and Pacific Islander,61,11.5,14.8
2007,Chronic Liver Disease and Cirrhosis ,Male,Other Race/ Ethnicity,,,
2008,Diseases of Heart ,Male,Non-Hispanic Black,2077,244.6,330.2
2011,Accidents Except Drug Posioning ,Male,Not Stated/Unknown,,,
2009,Alzheimer's Disease ,Female,Other Race/ Ethnicity,,,
2008,All Other Causes,Female,Non-Hispanic White,1706,118.9,78.6
2013,Septicemia ,Female,Non-Hispanic White,135,9.5,5
2008,Cerebrovascular Disease (Stroke),Male,Non-Hispanic White,245,18.3,15.4
2010,Influenza (Flu) and Pneumonia ,Male,Non-Hispanic White,614,45.8,37.6
2008,Certain Conditions originating in the Perinatal Period ,Female,Other Race/ Ethnicity,,,
2013,Chronic Lower Respiratory Diseases ,Male,Non-Hispanic White,437,32.5,26.4
2012,Accidents Except Drug Posioning ,Female,Asian and Pacific Islander,34,5.8,6.4
2013,Alzheimer's Disease ,Female,Non-Hispanic White,263,18.5,8.4
2013,Certain Conditions originating in the Perinatal Period ,Female,Other Race/ Ethnicity,,,
2013,Influenza (Flu) and Pneumonia ,Male,Other Race/ Ethnicity,8,,
2007,Cerebrovascular Disease (Stroke),Female,Non-Hispanic Black,279,26.5,25.3
2013,Malignant Neoplasms (Cancer),Male,Hispanic,1146,97.1,148.5
2012,Certain Conditions originating in the Perinatal Period ,Female,Not Stated/Unknown,11,,
2010,All Other Causes,Female,Other Race/ Ethnicity,27,,
2013,Accidents Except Drug Posioning ,Male,Hispanic,189,16,19
2010,Atherosclerosis ,Female,Not Stated/Unknown,,,
2010,Chronic Lower Respiratory Diseases ,Male,Other Race/ Ethnicity,5,,
2007,All Other Causes,Male,Hispanic,988,90.6,142.6
2011,Cerebrovascular Disease (Stroke),Female,Not Stated/Unknown,,,
2012,Essential Hypertension and Renal Diseases ,Male,Asian and Pacific Islander,39,7.2,10.8
2014,All Other Causes,Female,Non-Hispanic White,2578,181.9,110.7
2010,Diabetes Mellitus ,Female,Non-Hispanic White,258,18,11.1
2008,Assault (Homicide),Male,Not Stated/Unknown,8,,
2009,Influenza (Flu) and Pneumonia ,Male,Non-Hispanic White,555,41.3,34.3
2007,All Other Causes,Male,Asian and Pacific Islander,221,45.7,61.2
2013,Influenza (Flu) and Pneumonia ,Male,Not Stated/Unknown,24,,
2012,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Male,Not Stated/Unknown,7,,
2014,Chronic Liver Disease and Cirrhosis ,Female,Hispanic,66,5.2,5.4
2012,Cerebrovascular Disease (Stroke),Female,Not Stated/Unknown,9,,
2011,All Other Causes,Male,Not Stated/Unknown,38,,
2012,Diseases of Heart ,Male,Non-Hispanic White,4156,310.3,252.4
2011,Influenza (Flu) and Pneumonia ,Female,Hispanic,218,17.8,21.5
2011,Malignant Neoplasms (Cancer),Female,Hispanic,1085,88.6,99.6
2014,All Other Causes,Male,Other Race/ Ethnicity,74,,
2014,Malignant Neoplasms (Cancer),Male,Other Race/ Ethnicity,50,,
2009,Accidents Except Drug Posioning ,Male,Non-Hispanic White,279,20.7,18.7
2012,Essential Hypertension and Renal Diseases ,Female,Other Race/ Ethnicity,,,
2010,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Male,Hispanic,138,12.1,12.9
2009,All Other Causes,Female,Not Stated/Unknown,26,,
2011,Intentional Self-Harm (Suicide),Male,Asian and Pacific Islander,49,9.3,9.4
2009,Influenza (Flu) and Pneumonia ,Male,Hispanic,183,16.3,30.9
2014,Diabetes Mellitus ,Male,Non-Hispanic White,292,21.7,18.1
2012,Chronic Lower Respiratory Diseases ,Male,Hispanic,132,11.3,19.2
2013,Malignant Neoplasms (Cancer),Male,Non-Hispanic Black,1592,185.5,212.8
2014,Human Immunodeficiency Virus Disease (HIV),Male,Non-Hispanic Black,196,22.7,21.7
2012,Alzheimer's Disease ,Female,Non-Hispanic Black,115,11,8.9
2012,Human Immunodeficiency Virus Disease (HIV),Male,Non-Hispanic Black,223,26.1,25.8
2014,Accidents Except Drug Posioning ,Male,Other Race/ Ethnicity,12,,
2011,Malignant Neoplasms (Cancer),Female,Asian and Pacific Islander,451,79.1,86.1
2007,Human Immunodeficiency Virus Disease (HIV),Male,Other Race/ Ethnicity,,,
2013,Accidents Except Drug Posioning ,Female,Non-Hispanic White,166,11.7,8.1
2007,Chronic Lower Respiratory Diseases ,Male,Non-Hispanic White,345,25.8,21.7
2007,Diseases of Heart ,Male,Other Race/ Ethnicity,36,,
2008,Certain Conditions originating in the Perinatal Period ,Male,Other Race/ Ethnicity,,,
2014,Malignant Neoplasms (Cancer),Male,Non-Hispanic White,3142,234,195.1
2013,Diseases of Heart ,Male,Other Race/ Ethnicity,72,,
2014,Diseases of Heart ,Female,Non-Hispanic Black,2194,209.1,169.1
2009,Cerebrovascular Disease (Stroke),Female,Asian and Pacific Islander,61,11.1,14.1
2007,Human Immunodeficiency Virus Disease (HIV),Male,Hispanic,218,20,23.1
2013,Diseases of Heart ,Female,Not Stated/Unknown,106,,
2012,Influenza (Flu) and Pneumonia ,Female,Other Race/ Ethnicity,6,,
2008,Accidents Except Drug Posioning ,Female,Hispanic,68,5.8,6.6
2011,Diabetes Mellitus ,Female,Non-Hispanic White,253,17.9,11.1
2014,Malignant Neoplasms (Cancer),Male,Hispanic,1146,96,143.5
2014,Diseases of Heart ,Female,Not Stated/Unknown,95,,
2009,Human Immunodeficiency Virus Disease (HIV),Male,Non-Hispanic Black,329,38.7,38.5
2011,Malignant Neoplasms (Cancer),Male,Not Stated/Unknown,27,,
2014,Cerebrovascular Disease (Stroke),Male,Asian and Pacific Islander,91,15.9,19.3
2012,All Other Causes,Female,Non-Hispanic Black,1483,141.9,127.3
2007,Accidents Except Drug Posioning ,Female,Hispanic,71,6.1,7.1
2014,Influenza (Flu) and Pneumonia ,Female,Not Stated/Unknown,11,,
2014,Septicemia ,Male,Not Stated/Unknown,8,,
2013,Cerebrovascular Disease (Stroke),Female,Hispanic,222,17.8,19.8
2010,Cerebrovascular Disease (Stroke),Male,Non-Hispanic White,276,20.6,17.2
2007,Diseases of Heart ,Female,Non-Hispanic White,7050,491.4,250.7
2014,Diabetes Mellitus ,Female,Non-Hispanic Black,398,37.9,31.6
2013,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Male,Non-Hispanic White,286,21.2,19.5
2007,Accidents Except Drug Posioning ,Male,Hispanic,154,14.1,17.4
2011,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Male,Non-Hispanic Black,135,15.8,14.8
2007,Diseases of Heart ,Male,Asian and Pacific Islander,496,102.5,157.8
2012,Influenza (Flu) and Pneumonia ,Female,Not Stated/Unknown,6,,
2011,Diabetes Mellitus ,Female,Other Race/ Ethnicity,8,,
2011,Diseases of Heart ,Male,Other Race/ Ethnicity,42,,
2008,Diseases of Heart ,Female,Non-Hispanic White,6836,476.2,245.5
2010,Influenza (Flu) and Pneumonia ,Female,Non-Hispanic Black,275,26.2,23.6
2007,Diabetes Mellitus ,Male,Asian and Pacific Islander,47,9.7,13.6
2010,Chronic Lower Respiratory Diseases ,Male,Not Stated/Unknown,12,,
2009,Accidents Except Drug Posioning ,Male,Asian and Pacific Islander,55,10.8,12.3
2007,Assault (Homicide),Male,Other Race/ Ethnicity,,,
2011,Diabetes Mellitus ,Male,Non-Hispanic White,258,19.3,16.3
2014,Malignant Neoplasms (Cancer),Female,Non-Hispanic White,3153,222.5,150.2
2009,Malignant Neoplasms (Cancer),Female,Non-Hispanic Black,1735,165.7,151.1
2008,Influenza (Flu) and Pneumonia ,Female,Not Stated/Unknown,14,,
2008,Diseases of Heart ,Female,Other Race/ Ethnicity,35,,
2007,Human Immunodeficiency Virus Disease (HIV),Male,Non-Hispanic Black,377,44.2,44.2
2007,Diabetes Mellitus ,Male,Not Stated/Unknown,9,,
2011,Chronic Lower Respiratory Diseases ,Female,Not Stated/Unknown,5,,
2009,Human Immunodeficiency Virus Disease (HIV),Male,Hispanic,196,17.5,20
2009,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Male,Other Race/ Ethnicity,,,
2008,All Other Causes,Female,Hispanic,885,74.9,90.2
2012,Chronic Lower Respiratory Diseases ,Female,Non-Hispanic White,507,35.7,21.4
2014,Chronic Lower Respiratory Diseases ,Female,Not Stated/Unknown,12,,
2010,Diseases of Heart ,Female,Non-Hispanic White,5351,374.2,189.2
2011,Chronic Lower Respiratory Diseases ,Male,Not Stated/Unknown,,,
2012,Diabetes Mellitus ,Male,Hispanic,194,16.6,26.1
2010,Chronic Lower Respiratory Diseases ,Female,Non-Hispanic White,501,35,20.7
2014,Cerebrovascular Disease (Stroke),Female,Not Stated/Unknown,10,,
2010,Accidents Except Drug Posioning ,Female,Asian and Pacific Islander,25,4.4,5.1
2013,Malignant Neoplasms (Cancer),Female,Hispanic,1149,92.1,99.9
2008,Malignant Neoplasms (Cancer),Male,Non-Hispanic White,3361,250.4,214.3
2013,Chronic Lower Respiratory Diseases ,Female,Non-Hispanic Black,258,24.7,20.8
2010,Chronic Lower Respiratory Diseases ,Male,Asian and Pacific Islander,61,11.7,17.8
2014,Accidents Except Drug Posioning ,Female,Non-Hispanic White,169,11.9,7.4
2010,Cerebrovascular Disease (Stroke),Female,Non-Hispanic White,382,26.7,14.1
2012,"Nephritis, Nephrotic Syndrome and Nephrisis ",Female,Asian and Pacific Islander,22,3.8,4.3
2012,Diabetes Mellitus ,Female,Not Stated/Unknown,15,,
2014,Human Immunodeficiency Virus Disease (HIV),Female,Non-Hispanic Black,102,9.7,8.5
2012,All Other Causes,Male,Other Race/ Ethnicity,24,,
2008,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Male,Not Stated/Unknown,13,,
2008,Influenza (Flu) and Pneumonia ,Male,Not Stated/Unknown,11,,
2010,Accidents Except Drug Posioning ,Male,Hispanic,132,11.6,13.9
2008,Influenza (Flu) and Pneumonia ,Male,Asian and Pacific Islander,90,18.1,30.2
2014,Human Immunodeficiency Virus Disease (HIV),Male,Hispanic,92,7.7,8.7
2012,Chronic Liver Disease and Cirrhosis ,Male,Asian and Pacific Islander,20,3.7,4.1
2012,Cerebrovascular Disease (Stroke),Male,Hispanic,129,11,17.2
2009,Diseases of Heart ,Female,Hispanic,1349,112.7,143.8
2010,Intentional Self-Harm (Suicide),Male,Not Stated/Unknown,,,
2008,Diseases of Heart ,Male,Hispanic,1330,120.3,228
2012,Cerebrovascular Disease (Stroke),Male,Non-Hispanic White,285,21.3,17.6
2007,Malignant Neoplasms (Cancer),Male,Non-Hispanic Black,1523,178.7,229.4
2013,Diseases of Heart ,Male,Non-Hispanic White,4085,303.5,244.3
2012,Malignant Neoplasms (Cancer),Male,Non-Hispanic White,3184,237.7,200.7
2014,Chronic Lower Respiratory Diseases ,Male,Hispanic,145,12.1,19.3
2012,Malignant Neoplasms (Cancer),Male,Asian and Pacific Islander,622,115.1,138.4
2012,All Other Causes,Female,Non-Hispanic White,2444,172.3,105.1
2010,Malignant Neoplasms (Cancer),Male,Hispanic,1057,92.5,150
2010,Malignant Neoplasms (Cancer),Female,Other Race/ Ethnicity,34,,
2008,Essential Hypertension and Renal Diseases ,Female,Other Race/ Ethnicity,,,
2013,Malignant Neoplasms (Cancer),Male,Asian and Pacific Islander,633,114.2,130.9
2009,Diseases of Heart ,Female,Asian and Pacific Islander,448,81.6,108.7
2007,Accidents Except Drug Posioning ,Male,Non-Hispanic White,297,22.2,19.8
2014,Intentional Self-Harm (Suicide),Female,Other Race/ Ethnicity,5,,
2011,Essential Hypertension and Renal Diseases ,Male,Not Stated/Unknown,,,
2010,Chronic Lower Respiratory Diseases ,Male,Hispanic,149,13,23.9
2008,Malignant Neoplasms (Cancer),Male,Other Race/ Ethnicity,33,,
2009,Malignant Neoplasms (Cancer),Female,Hispanic,1097,91.6,107.2
2008,Malignant Neoplasms (Cancer),Male,Not Stated/Unknown,60,,
2008,Diseases of Heart ,Male,Asian and Pacific Islander,546,109.6,166.3
2012,Accidents Except Drug Posioning ,Male,Non-Hispanic White,286,21.4,18.8
2014,Cerebrovascular Disease (Stroke),Male,Non-Hispanic White,277,20.6,16.8
2012,Influenza (Flu) and Pneumonia ,Female,Asian and Pacific Islander,74,12.7,15.1
2013,Intentional Self-Harm (Suicide),Male,Asian and Pacific Islander,41,7.4,7.2
2012,Diseases of Heart ,Female,Non-Hispanic White,4719,332.7,167.7
2007,Chronic Lower Respiratory Diseases ,Female,Other Race/ Ethnicity,,,
2008,Cerebrovascular Disease (Stroke),Female,Not Stated/Unknown,13,,
2007,Diabetes Mellitus ,Female,Not Stated/Unknown,,,
2008,Diseases of Heart ,Female,Asian and Pacific Islander,456,85.6,117.7
2007,Diseases of Heart ,Female,Not Stated/Unknown,82,,
2007,Chronic Lower Respiratory Diseases ,Male,Asian and Pacific Islander,43,8.9,16.7
2010,Certain Conditions originating in the Perinatal Period ,Female,Not Stated/Unknown,5,,
2013,Septicemia ,Female,Asian and Pacific Islander,16,2.7,2.9
2013,Malignant Neoplasms (Cancer),Male,Not Stated/Unknown,99,,
2014,Diabetes Mellitus ,Male,Other Race/ Ethnicity,18,,
2007,Cerebrovascular Disease (Stroke),Male,Other Race/ Ethnicity,7,,
2007,Essential Hypertension and Renal Diseases ,Male,Non-Hispanic White,123,9.2,7.6
2010,All Other Causes,Female,Non-Hispanic White,2140,149.7,93.9
2014,Cerebrovascular Disease (Stroke),Male,Non-Hispanic Black,197,22.8,26.4
2013,All Other Causes,Male,Non-Hispanic White,2293,170.3,143.3
2012,Accidents Except Drug Posioning ,Female,Not Stated/Unknown,,,
2011,Chronic Lower Respiratory Diseases ,Female,Non-Hispanic White,510,36,21
2011,Diseases of Heart ,Male,Hispanic,1201,104.2,180.8
2008,Cerebrovascular Disease (Stroke),Male,Non-Hispanic Black,206,24.3,31
2009,Influenza (Flu) and Pneumonia ,Male,Not Stated/Unknown,14,,
2011,Malignant Neoplasms (Cancer),Female,Not Stated/Unknown,11,,
2011,Intentional Self-Harm (Suicide),Male,Not Stated/Unknown,,,
2011,Chronic Liver Disease and Cirrhosis ,Male,Other Race/ Ethnicity,5,,
2010,Chronic Lower Respiratory Diseases ,Female,Non-Hispanic Black,206,19.6,17.7
2010,All Other Causes,Male,Non-Hispanic Black,1230,144.5,166.2
2007,Accidents Except Drug Posioning ,Male,Asian and Pacific Islander,53,11,13
2008,Essential Hypertension and Renal Diseases ,Female,Non-Hispanic White,151,10.5,5.9
2008,Malignant Neoplasms (Cancer),Female,Hispanic,1046,88.5,104.7
2011,Influenza (Flu) and Pneumonia ,Female,Non-Hispanic White,696,49.1,25.4
2008,Certain Conditions originating in the Perinatal Period ,Female,Not Stated/Unknown,6,,
